Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Angola,AGO,"Population ages 00-04, female",SP.POP.0004.FE,2458200,2517349,2576574,2634324,2691453,2749392,2809147,2871490
Angola,AGO,"Population ages 00-04, male",SP.POP.0004.MA,2478135,2548127,2615784,2684354,2745665,2803154,2861324,2923514
Angola,AGO,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,47.2054250456675,47.1771593108235,47.108971147683,47.0533524343201,46.9530162996215,46.8089247095412,46.6220250275763,46.3953623946154
Angola,AGO,"Population ages 0-14, female",SP.POP.0014.FE.IN,6151428,6359972,6566961,6776879,6984656,7189750,7391526,7590076
Angola,AGO,"Population ages 0-14, male",SP.POP.0014.MA.IN,6129427,6350390,6569082,6794455,7015196,7231974,7446078,7658353
Angola,AGO,"Population ages 0-14, total",SP.POP.0014.TO,12280862,12710363,13136045,13571355,13999872,14421730,14837599,15248424
Angola,AGO,"Population ages 05-09, female",SP.POP.0509.FE,2038401,2120299,2197120,2274939,2347520,2414156,2476123,2535920
Angola,AGO,"Population ages 05-09, male",SP.POP.0509.MA,2020158,2104073,2184296,2267355,2348367,2425921,2499254,2568244
Angola,AGO,"Population ages 10-14, female",SP.POP.1014.FE,1654827,1722324,1793267,1867616,1945683,2026202,2106256,2182666
Angola,AGO,"Population ages 10-14, male",SP.POP.1014.MA,1631134,1698190,1769002,1842746,1921164,2002899,2085500,2166595
Angola,AGO,"Population, total",SP.POP.TOTL,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268
Angola,AGO,"Population, male",SP.POP.TOTL.MA.IN,12863801,13323488,13791244,14266355,14749319,15241459,15744779,16260870
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,13151985,13618285,14093136,14576127,15067450,15568328,16080520,16605398
Bangladesh,BGD,"Population ages 00-04, female",SP.POP.0004.FE,7266187,7228194,7188770,7175348,7144224,7100046,7052342,7007986
Bangladesh,BGD,"Population ages 00-04, male",SP.POP.0004.MA,7578281,7542686,7504370,7493733,7462638,7416567,7366404,7320193
Bangladesh,BGD,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,30.3437442561577,29.8125546807414,29.2780668854543,28.7530634255702,28.2245879874421,27.706022482501,27.2143653845367,26.7545413051915
